vendedor_id,nome,telefone,email,data_contratacao
1,Daven Chatburn,131-691-1960,dchatburn0@mit.edu,05.07.2023
2,Barny Zecchinii,892-209-9307,bzecchinii1@technorati.com,08.12.2023
3,Bryana Normaville,157-297-1205,bnormaville2@hhs.gov,27.09.2023
4,Ebenezer Foxen,409-369-4821,efoxen3@bbb.org,17.12.2023
5,Pietra Musson,982-613-1662,pmusson4@bizjournals.com,06.11.2023
6,Clint MacKeig,676-396-8183,cmackeig5@com.com,14.05.2023
7,Jeanine Dillinger,947-200-2611,jdillinger6@engadget.com,21.05.2023
8,Shirline Soppeth,162-207-9500,ssoppeth7@skyrock.com,04.07.2023
9,Scotty O'Noland,499-439-9799,sonoland8@prlog.org,20.09.2023
10,Trudie Ingley,799-175-8639,tingley9@phoca.cz,01.01.2024
11,Dita Stud,368-164-7665,dstuda@ovh.net,10.08.2023
12,Karrah Bellow,229-178-0137,kbellowb@miibeian.gov.cn,10.09.2023
13,Ingra Keighly,605-643-8189,ikeighlyc@ameblo.jp,14.10.2023
14,Chery Jachtym,345-942-3568,cjachtymd@sourceforge.net,29.11.2023
15,Dorree Ferriday,757-764-5626,dferridaye@studiopress.com,19.11.2023
16,Brett Basilotta,671-316-1944,bbasilottaf@csmonitor.com,12.12.2023
17,Klarrisa Timmis,808-945-9002,ktimmisg@webnode.com,12.06.2023
18,Conrado Bryning,952-585-7645,cbryningh@dyndns.org,23.03.2023
19,Kennan Thorius,477-956-9510,kthoriusi@gnu.org,11.05.2023
20,Farlee Thurbon,312-419-5302,fthurbonj@lycos.com,15.01.2023
