nome,telefone,email,salario
Renata Queripel,347-450-9192,rqueripel0@prweb.com,19410
Tersina Noni,670-144-9360,tnoni1@acquirethisname.com,9912
Jarrad Amiss,961-526-5451,jamiss2@hao123.com,2797
Candy Crampton,748-796-6153,ccrampton3@angelfire.com,15962
Shay Lissandri,459-476-5925,slissandri4@sphinn.com,6110
Kriste Wrotham,276-921-9341,kwrotham5@webeden.co.uk,6127
Ross Cowthart,534-203-1990,rcowthart6@123-reg.co.uk,11633
Drusie Gres,958-883-2114,dgres7@gov.uk,14697
Nilson Aizikovich,292-728-1393,naizikovich8@epa.gov,8166
Becki Lusty,731-991-1234,blusty9@gnu.org,2573
Lorianna Duckering,260-999-2638,lduckeringa@noaa.gov,9975
Cyndia Saxelby,803-740-9586,csaxelbyb@auda.org.au,13155
Westleigh Lisciardelli,952-441-7664,wlisciardellic@hatena.ne.jp,4570
May Feron,630-730-0690,mferond@symantec.com,6831
Kyrstin MacBarron,320-351-3963,kmacbarrone@nih.gov,17624
Lorie Lidington,226-716-8217,llidingtonf@nasa.gov,12930
Philipa Piletic,627-699-5699,ppileticg@gizmodo.com,19424
Petey Lasseter,511-505-4981,plasseterh@naver.com,2161
Clary Vashchenko,168-196-8336,cvashchenkoi@deviantart.com,8102
Celestyna Lauret,512-226-1822,clauretj@sbwire.com,11021
