id_cliente,nome,telefone,email
1,Rafael Souza,(11) 91327-2745,rafael.souza0@gmail.com
2,Ana Simões,(21) 7740-3975,ana.simoes1@outlook.com
3,Paulo Oliveira,(31) 1513-1218,paulo.oliveira2@hotmail.com
4,Beatriz Almeida,(41) 2691-9283,beatriz.almeida3@gmail.com
5,Wilmar Santos,(61) 6227-3854,wilmar.santos4@outlook.com
6,Giselle Silva,(51) 7214-3745,giselle.silva5@hotmail.com
7,Karine Costa,(61) 7652-5200,karine.costa6@gmail.com
8,Suelen Oliveira,(71) 9179-8555,suelen.oliveira7@outlook.com
9,Silvia Pimentel,(11) 9775-3402,silvia.pimentel8@hotmail.com
10,Carlos Chaves,(51) 1139-5673,carlos.chaves9@gmail.com
11,Cintia Meireles,(41) 8082-8292,cintia.meirelesa@outlook.com
12,Kenzo Silva,(11) 8643-3069,kenzo.silvab@hotmail.com
13,Camila Wandres,(85) 1661-8045,camila.wandresc@gmail.com
14,Tatiane Moraes,(81) 8048-4876,tatiane.moraesd@outlook.com
15,Thais Lima,(21) 8836-1333,thais.lima@hotmail.com
16,Danilo Ferreira,(71) 9765-3674,danilo.ferreira@gmail.com
17,João Oliveira,(11) 6464-4907,joao.oliveirag@outlook.com
18,Cláudia Anhaia,(62) 4176-6269,claudia.anhaiah@hotmail.com
19,Adriana Costa,(62) 9573-7525,adriana.costa@gmail.com
20,Eliane Goulart,(11) 7675-2711,eliane.goulartj@outlook.com
21,Marcelo Floriano,(21) 2989-1211,marcelo.florianok@gmail.com
22,Luis Siqueira,(41) 1872-0932,luis.siqueiral@hotmail.com
23,Renata Skelly,(51) 5429-4484,renata.skellym@outlook.com
24,Carla Costa,(31) 1045-2512,carla.costa@gmail.com
25,Bruna Pereira,(41) 2817-8187,bruna.pereirao@hotmail.com
26,Lúcio Santana,(21) 8425-0602,lucio.santanap@outlook.com
27,Nathalia Ivanov,(61) 3270-8421,nathalia.ivanovq@gmail.com
28,Cristiano Welber,(21) 7351-5745,cristiano.welberr@hotmail.com
29,Wesley Alves,(11) 1135-3517,wesley.alvess@outlook.com
30,Larissa Boldo,(85) 3382-0820,larissa.boldot@gmail.com
31,Felipe Gilson,(81) 2885-5181,felipe.gilsonu@hotmail.com
32,Gustavo Tinoco,(11) 6413-3026,gustavo.tinocov@outlook.com
33,André Grinberger,(11) 5748-2783,andre.grinbergerw@gmail.com
34,Mohammed Pereira,(61) 9683-5084,mohammed.pereirax@hotmail.com
35,Cláudio Thurler,(19) 7114-7521,claudio.thurlingy@outlook.com
36,Carolina Zuanetti,(21) 1014-7152,carolina.zuanettiz@gmail.com
37,Gilson Wilson,(11) 9753-8501,gilson.wilson10@hotmail.com
38,Flávia Rumor,(41) 3959-6353,flavia.rumor11@outlook.com
39,Angela Elias,(83) 4789-1015,angela.elias12@gmail.com
40,Diego Ixor,(11) 5836-8641,diego.ixor13@hotmail.com
41,Samantha Drago,(11) 6341-3474,samantha.drago14@outlook.com
42,Francisco Tebet,(61) 9438-6021,francisco.tebet15@gmail.com
43,Lorena Killeen,(11) 5300-9890,lorena.killeen16@hotmail.com
44,Camila Hartford,(31) 4705-2692,camila.hartford17@outlook.com
45,Valéria Loguetti,(21) 8687-9754,valeria.loguetti18@gmail.com
46,Melissa Siqueira,(31) 2519-2534,melissa.siqueira19@hotmail.com
47,Gláucia Harsant,(21) 4851-1130,glaucia.harsant1a@outlook.com
48,Douglas Weintraub,(41) 6081-8176,douglas.weintraub1b@gmail.com
49,Tânia Teixeira,(11) 6201-2262,tania.teixeira1c@hotmail.com
50,Wanderley Lacaze,(61) 6299-9593,wanderley.lacaze1d@outlook.com
